G03X01ELEVATOR	G03	ADDISON ROAD-SEAT PLEASANT		Elevator between mezzanine and platform
G03X02ELEVATOR	G03	ADDISON ROAD-SEAT PLEASANT		Garage elevator
G03X03ELEVATOR	G03	ADDISON ROAD-SEAT PLEASANT		Garage elevator
F06S01ELEVATOR	F06	ANACOSTIA	 Howard Road Entrance	Elevator between mezzanine and platform
F06N01ELEVATOR	F06	ANACOSTIA	 Kiss & Ride Entrance	Elevator between mezzanine and platform
F02X01ELEVATOR	F02	ARCHIVES-Navy Memorial		Elevator between street entrance and mezzanine, on 7th Street, just north of Pennsylvania Ave
F02X02ELEVATOR	F02	ARCHIVES-Navy Memorial		Elevator between mezzanine and platform
C06X01ELEVATOR	C06	ARLINGTON CEMETERY		Elevator between mezzanine and platform to Franconia Springfield
C06X02ELEVATOR	C06	ARLINGTON CEMETERY		Elevator between mezzanine and platform to Largo Town Center
K04X01ELEVATOR	K04	BALLSTON-MU		Elevator between street and mezzanine to Vienna
K04X02ELEVATOR	K04	BALLSTON-MU		Elevator between mezzanine and platform to New Carrollton
K04X03ELEVATOR	K04	BALLSTON-MU		Elevator between street and mezzanine to Vienna
K04X04ELEVATOR	K04	BALLSTON-MU		Elevator between street and mezzanine to New Carrollton
K04X05ELEVATOR	K04	BALLSTON-MU		Elevator between street and mezzanine to New Carrollton
G01X01ELEVATOR	G01	BENNING ROAD		Elevator between street and mezzanine, north side of Benning Road at 45th Street
G01X02ELEVATOR	G01	BENNING ROAD		Elevator between mezzanine and platform
A09X01ELEVATOR	A09	BETHESDA		Elevator between street and mezzanine, corner of Wisconsin Ave. and Montgomery Lane
A09X02ELEVATOR	A09	BETHESDA		Elevator between mezzanine and platform
C12X01ELEVATOR	C12	BRADDOCK ROAD		Elevator between mezzanine and platform
F11X01ELEVATOR	F11	BRANCH AVENUE		Elevator between mezzanine and platform
B05X01ELEVATOR	B05	BROOKLAND-CUA		Elevator between mezzanine and street at bus terminal
B05X02ELEVATOR	B05	BROOKLAND-CUA		Elevator between mezzanine and platform
G02X01ELEVATOR	G02	CAPITOL HEIGHTS		Elevator between street and mezzanine
G02X02ELEVATOR	G02	CAPITOL HEIGHTS		Elevator between mezzanine and platform
D05X01ELEVATOR	D05	CAPITOL SOUTH		Elevator between street and mezzanine
D05X02ELEVATOR	D05	CAPITOL SOUTH		Elevator between mezzanine and platform
D11X01ELEVATOR	D11	CHEVERLY		Elevator between street and mezzanine
D11X02ELEVATOR	D11	CHEVERLY		Elevator between mezzanine and platform to New Carrollton
K02X01ELEVATOR	K02	CLARENDON		Elevator between street and mezzanine
K02X02ELEVATOR	K02	CLARENDON		Elevator between mezzanine and platform to Vienna
A05X01ELEVATOR	A05	CLEVELAND PARK		Elevator between street and mezzanine on east side of Connecticut Ave
A05X02ELEVATOR	A05	CLEVELAND PARK		Elevator between mezzanine and platform
E09X01ELEVATOR	E09	COLLEGE PARK-U of MD		Elevator between street and mezzanine on west side of station at Post Office
E09X02ELEVATOR	E09	COLLEGE PARK-U of MD		Elevator between street and mezzanine on east side of station at Kiss & Ride
E09X03ELEVATOR	E09	COLLEGE PARK-U of MD		Elevator between mezzanine and platform
E09X04ELEVATOR	E09	COLLEGE PARK-U of MD		Garage elevator
E09X05ELEVATOR	E09	COLLEGE PARK-U of MD		Garage elevator
E04X01ELEVATOR	E04	COLUMBIA HEIGHTS		Elevator between street and mezzanine, 14 Street, Southbound Entrance
F07X01ELEVATOR	F07	CONGRESS HEIGHTS		Elevator between mezzanine and street
F07X02ELEVATOR	F07	CONGRESS HEIGHTS		Elevator between mezzanine and platform
K01X01ELEVATOR	K01	COURT HOUSE		Elevator between street and mezzanine
K01X02ELEVATOR	K01	COURT HOUSE		Elevator between mezzanine and platform
C09X02ELEVATOR	C09	CRYSTAL CITY		Elevator between mezzanine and platform to Huntington/Franconia-Springfield
C09X03ELEVATOR	C09	CRYSTAL CITY		Elevator between mezzanine and platform to Mt. Vernon Sq/Largo Town Center
D10X01ELEVATOR	D10	DEANWOOD		Elevator between street and mezzanine
D10X02ELEVATOR	D10	DEANWOOD		Elevator between mezzanine and platform
K07X01ELEVATOR	K07	DUNN LORING-MERRIFIELD		Elevator between mezzanine and platform
A03N01ELEVATOR	A03	DUPONT CIRCLE	 Q Street Entrance	Elevator between street and mezzanine
A03N02ELEVATOR	A03	DUPONT CIRCLE	 Q Street Entrance	Elevator between mezzanine and platform to Shady Grove
A03N03ELEVATOR	A03	DUPONT CIRCLE	 Q Street Entrance	Elevator between mezzanine and platform to Glenmont
K05X01ELEVATOR	K05	EAST FALLS CHURCH		Elevator between mezzanine and platform
D06X01ELEVATOR	D06	EASTERN MARKET		Elevator between street and mezzanine
D06X02ELEVATOR	D06	EASTERN MARKET		Elevator between mezzanine and platform
C14X01ELEVATOR	C14	EISENHOWER AVENUE		Elevator between mezzanine and platform to Mt.Vernon Sq
C14X02ELEVATOR	C14	EISENHOWER AVENUE		Elevator between mezzanine and platform to Huntington
A02S01ELEVATOR	A02	FARRAGUT NORTH	 K Street Entrance	Elevator between street and mezzanine, east side of Connecticut Ave near K Street
A02S02ELEVATOR	A02	FARRAGUT NORTH	 K Street Entrance	Elevator between mezzanine and platform
C03W01ELEVATOR	C03	FARRAGUT WEST	 18th Street Entrance	Elevator between street and mezzanine
C03W02ELEVATOR	C03	FARRAGUT WEST	 18th Street Entrance	Elevator between mezzanine and platform to Vienna/Franconia-Springfield
