code,long_name,medium_name,short_name
G03,Addison Road-Seat Pleasant,Addison Road,AddisonRoad
F06,Anacostia,Anacostia,Anacostia
F02,Archives-Navy Memorial-Penn Quarter,Archives,Archives
C06,Arlington Cemetery,Arlington Cemetery,ArlingtonCemetery
K04,Ballston-MU,Ballston,Ballston
G01,Benning Road,Benning Road,BenningRoad
A09,Bethesda,Bethesda,Bethesda
C12,Braddock Road,Braddock Road,BraddockRoad
F11,Branch Ave,Branch Avenue,BranchAve
B05,Brookland-CUA,Brookland,Brookland
G02,Capitol Heights,Capitol Heights,CapitolHeights
D05,Capitol South,Capitol South,CapitolSouth
D11,Cheverly,Cheverly,Cheverly
K02,Clarendon,Clarendon,Clarendon
A05,Cleveland Park,Cleveland Park,ClevelandPark
E09,College Park-U of MD,College Park,CollegePark
E04,Columbia Heights,Columbia Heights,ColumbiaHeights
F07,Congress Heights,Congress Heights,CongressHeights
K01,Court House,Court House,CourtHouse
C09,Crystal City,Crystal City,CrystalCity
D10,Deanwood,Deanwood,Deanwood
K07,Dunn Loring-Merrifield,Dunn Loring,DunnLoring
A03,Dupont Circle,Dupont Circle,DupontCircle
K05,East Falls Church,East Falls Church,EFallsChurch
D06,Eastern Market,Eastern Market,EasternMarket
C14,Eisenhower Avenue,Eisenhower Avenue,EisenhowerAve
A02,Farragut North,Farragut North,FarragutNorth
C03,Farragut West,Farragut West,FarragutWest
D04,Federal Center SW,Federal Center SW,FederalCenterSW
D01,Federal Triangle,Federal Triangle,FederalTriangle
C04,Foggy Bottom-GWU,Foggy Bottom,FoggyBottom
B09,Forest Glen,Forest Glen,ForestGlen
B06,Fort Totten,Fort Totten,FortTotten
E06,Fort Totten,Fort Totten,FortTotten
J03,Franconia-Springfield,Franconia-Springfield,FranconiaSpringfield
A08,Friendship Heights,Friendship Heights,FriendshipHeights
B01,Gallery Pl-Chinatown,Gallery Place,GalleryPlace
F01,Gallery Pl-Chinatown,Gallery Place,GalleryPlace
E05,Georgia Ave-Petworth,Georgia Avenue,GeorgiaAve
B11,Glenmont,Glenmont,Glenmont
E10,Greenbelt,Greenbelt,Greenbelt
A11,Grosvenor-Strathmore,Grosvenor,Grosvenor
C15,Huntington,Huntington,Huntington
B02,Judiciary Square,Judiciary Square,JudiciarySquare
C13,King St-Old Town,King Street,KingStreet
D03,L'Enfant Plaza,L'Enfant Plaza,LEnfantPlaza
F03,L'Enfant Plaza,L'Enfant Plaza,LEnfantPlaza
D12,Landover,Landover,Landover
G05,Largo Town Center,Largo Town Center,LargoTownCenter
C02,McPherson Square,McPherson Square,McPhersonSquare
A10,Medical Center,Medical Center,MedicalCenter
A01,Metro Center,Metro Center,MetroCenter
C01,Metro Center,Metro Center,MetroCenter
D09,Minnesota Ave,Minnesota Avenue,MinnesotaAve
G04,Morgan Boulevard,Morgan Blvd,MorganBlvd
E01,Mt Vernon Sq 7th St-Convention Center,Mt Vernon Square,MtVernonSq
C10,Ronald Reagan Washington National Airport,National Airport,NationalAirport
F05,Navy Yard-Ballpark,Navy Yard,NavyYard
F09,Naylor Road,Naylor Road,NaylorRoad
D13,New Carrollton,New Carrollton,NewCarrollton
B35,NoMa-Gallaudet,NoMa-Gallaudet,NoMa
C07,Pentagon,Pentagon,Pentagon
C08,Pentagon City,Pentagon City,PentagonCity
D07,Potomac Ave,Potomac Avenue,PotomacAve
E08,Prince George's Plaza,Prince Georges Plaza,PrinceGeorgesPlaza
B04,Rhode Island Ave-Brentwood,Rhode Island Avenue,RhodeIslandAve
A14,Rockville,Rockville,Rockville
C05,Rosslyn,Rosslyn,Rosslyn
A15,Shady Grove,Shady Grove,ShadyGrove
E02,Shaw-Howard U,Shaw,Shaw
B08,Silver Spring,Silver Spring,SilverSpring
D02,Smithsonian,Smithsonian,Smithsonian
F08,Southern Avenue,Southern Ave,SouthernAve
D08,Stadium-Armory,Stadium Armory,StadiumArmory
F10,Suitland,Suitland,Suitland
B07,Takoma,Takoma,Takoma
A07,Tenleytown-AU,Tenleytown,Tenleytown
A13,Twinbrook,Twinbrook,Twinbrook
E03,U Street/African-Amer Civil War Memorial/Cardozo,U Street,UStreet
B03,Union Station,Union Station,UnionStation
J02,Van Dorn Street,Van Dorn St,VanDornSt
A06,Van Ness-UDC,Van Ness UDC,VanNessUDC
K08,Vienna/Fairfax-GMU,Vienna,Vienna
K03,Virginia Square-GMU,Virginia Square,VirginiaSquare
F04,Waterfront,Waterfront,Waterfront
K06,West Falls Church-VT/UVA,West Falls Church,WFallsChurch
E07,West Hyattsville,West Hyattsville,WestHyattsville
B10,Wheaton,Wheaton,Wheaton
A12,White Flint,White Flint,WhiteFlint
A04,Woodley Park-Zoo/Adams Morgan,Woodley Park Zoo,WoodleyParkZoo
N04, Spring Hill, Spring Hill, SpringHill
N06, Wiehle-Reston East, Wiehle-Reston East, Wiehle-Reston East
N01, McLean, McLean, McLean
N02, Tysons Corner, Tysons Corner, TysonsCorner
N03, Greensboro, Greensboro, Greensboro
