A01,Metro Center,MetroCenter
A02,Farragut North,FarragutNorth
A03,Dupont Circle,DupontCircle
A04,Woodley Park Zoo,WoodleyParkZoo
A05,Cleveland Park,ClevelandPark
A06,Van Ness UDC,VanNessUDC
A07,Tenleytown,Tenleytown
A08,Friendship Heights,FriendshipHeights
A09,Bethesda,Bethesda
A10,Medical Center,MedicalCenter
A11,Grosvenor,Grosvenor
A12,White Flint,WhiteFlint
A13,Twinbrook,Twinbrook
A14,Rockville,Rockville
A15,Shady Grove,ShadyGrove
B01,Gallery Place,GalleryPlace
B02,Judiciary Square,JudiciarySquare
B03,Union Station,UnionStation
B04,Rhode Island Avenue,RhodeIslandAve
B05,Brookland,Brookland
B06,Fort Totten,FortTotten
B07,Takoma,Takoma
B08,Silver Spring,SilverSpring
B09,Forest Glen,ForestGlen
B10,Wheaton,Wheaton
B11,Glenmont,Glenmont
B35,New York Avenue,NewYorkAve
C01,Metro Center,MetroCenter
C02,McPherson Square,McPhersonSquare
C03,Farragut West,FarragutWest
C04,Foggy Bottom,FoggyBottom
C05,Rosslyn,Rosslyn
C06,Arlington Cemetery,ArlingtonCemetery
C07,Pentagon,Pentagon
C08,Pentagon City,PentagonCity
C09,Crystal City,CrystalCity
C10,National Airport,NationalAirport
C12,Braddock Road,BraddockRoad
C13,King Street,KingStreet
C14,Eisenhower Avenue,EisenhowerAve
C15,Huntington,Huntington
D01,Federal Triangle,FederalTriangle
D02,Smithsonian,Smithsonian
D03,L'Enfant Plaza,LEnfantPlaza
D04,Federal Center SW,FederalCenterSW
D05,Capitol South,CapitolSouth
D06,Eastern Market,EasternMarket
D07,Potomac Avenue,PotomacAve
D08,Stadium Armory,StadiumArmory
D09,Minnesota Avenue,MinnesotaAve
D10,Deanwood,Deanwood
D11,Cheverly,Cheverly
D12,Landover,Landover
D13,New Carrollton,NewCarrollton
E01,Mt Vernon Square,MtVernonSq
E02,Shaw,Shaw
E03,U Street,UStreet
E04,Columbia Heights,ColumbiaHeights
E05,Georgia Avenue,GeorgiaAve
E06,Fort Totten,FortTotten
E07,West Hyattsville,WestHyattsville
E08,Prince Georges Plaza,PrinceGeorgesPlaza
E09,College Park,CollegePark
E10,Greenbelt,Greenbelt
F01,Gallery Place,GalleryPlace
F02,Archives,Archives
F03,L'Enfant Plaza,LEnfantPlaza
F04,Waterfront,Waterfront
F05,Navy Yard,NavyYard
F06,Anacostia,Anacostia
F07,Congress Heights,CongressHeights
F08,Southern Ave,SouthernAve
F09,Naylor Road,NaylorRoad
F10,Suitland,Suitland
F11,Branch Avenue,BranchAve
G01,Benning Road,BenningRoad
G02,Capitol Heights,CapitolHeights
G03,Addison Road,AddisonRoad
G04,Morgan Blvd,MorganBlvd
G05,Largo Town Center,LargoTownCenter
J02,Van Dorn St,VanDornSt
J03,Franconia-Springfield,FranconiaSpringfield
K01,Court House,CourtHouse
K02,Clarendon,Clarendon
K03,Virginia Square,VirginiaSquare
K04,Ballston,Ballston
K05,East Falls Church,EFallsChurch
K06,West Falls Church,WFallsChurch
K07,Dunn Loring,DunnLoring
K08,Vienna,Vienna
