Station	Codes	N	1977	1978	1979	1980	1981	1982	1984	1985	1986	1987	1988*	1989*	1990**	1991*	1992	1993*	1994	1995**	1996**	1997**	1998**	1999**	2000**	2001**	2002**	2003**	2004**	2005**	2006**	2007**	2008**	2009**	2010**	2011***	2012***
Addison Road	G03	2	0	0	0	0	2507	2964	4435	3723	4356	4802	5185	5450	5703	5321	5803	5631	5718	5238	5162	5290	5833	6085	6682	6022	6007	5865	5603	3798	4076	3939	3897	3674	3759	3626	3544
Anacostia	F06	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6887	7902	8487	8182	7848	8197	8911	9317	10131	7226	7198	7118	7036	7118	7778	7642	7681	7719	7774	7479	7598
Archives-Navy Memorial	F02	5	0	0	0	0	0	0	2728	3364	3693	3511	3625	4184	3871	4831	6086	6579	5961	6164	6201	6202	5880	6151	6846	7668	7810	7740	8578	8570	8412	8520	9324	9539	9727	9565	9496
Arlington Cemetery	C06	8	140	219	384	362	876	215	416	1099	341	731	984	1342	1102	1064	1294	1263	804	1480	1583	1826	2074	1688	1759	1905	1825	1441	1644	1752	1821	1889	2081	1970	1889	1866	1827
Ballston	K04	12	0	0	0	9352	10250	10173	10060	10239	11325	8116	8218	8902	9531	9482	9662	9721	10712	9892	9653	9407	9759	10317	10450	11257	11214	11262	11620	11639	12322	12564	12807	12414	12508	12016	12042
Benning Road	G01	5	0	0	0	0	2497	3078	2973	3050	3468	3546	3873	4075	3883	3622	3159	2898	2770	2775	2662	2621	2784	2787	2999	3099	2976	2988	3052	3240	3392	3288	3382	3316	3399	3241	3183
Bethesda	A09	6	0	0	0	0	0	0	0	5011	6163	7105	6837	7305	7572	7401	7779	7193	7625	7501	7406	7596	7889	7885	8469	8591	8717	9205	9430	9946	10530	10738	10968	10730	10605	10765	10888
Braddock Road	C12	2	0	0	0	0	0	0	1295	2124	2395	2549	2684	2876	3054	3158	3052	3227	3305	3270	3113	3103	3209	3309	3481	3777	3804	3917	4054	4202	4316	4327	4506	4593	4524	4559	4484
Branch Ave	F11	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4860	5501	5720	6032	6198	6493	6510	6667	6448	6868	6660	6765
Brookland	B05	4	0	3451	5204	6333	5740	5538	5428	5741	6649	6573	7345	7991	6976	7508	6896	6769	6180	5585	5341	5502	5593	5845	5951	6345	6230	6280	6303	6377	6619	6795	7036	7158	6858	6576	6827
Capitol Heights	G02	5	0	0	0	0	1890	1965	2217	2317	2595	2972	2969	3125	2922	2781	2453	2247	2158	2099	1983	1975	2180	2248	2324	2219	2143	2089	1956	1972	2123	2137	2225	2221	2241	2150	2374
Capitol South	D05	5	3696	5003	5392	6758	6684	7429	6052	7480	7807	8759	8685	8629	8383	8604	7419	8102	6984	7214	6724	6720	6518	6509	7001	7656	7252	7375	7907	8303	8455	8452	8900	9414	9639	9194	8047
Cheverly	D11	6	0	0	1344	1380	1366	1162	1234	1315	1463	1490	1549	1623	1655	1705	1617	1498	1514	1484	1400	1377	1439	1430	1505	1503	1507	1481	1560	1544	1554	1609	1629	1548	1571	1543	1546
Clarendon	K02	8	0	0	0	1899	2149	2064	2254	2351	2652	2468	2629	2818	3078	2964	2474	2564	2766	2694	2611	2632	2681	2708	2752	2914	2935	2927	3359	3752	4065	4166	4406	4355	4335	4414	4838
Cleveland Park	A05	6	0	0	0	0	0	2443	2961	3870	3512	3419	3708	3921	3864	3934	3660	4066	4204	4326	4214	4443	4432	4632	4396	4456	4680	4520	4582	4831	5082	4976	5010	4807	4656	4676	4700
College Park	E09	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1120	1504	1801	2116	2266	2240	2709	3085	3206	3331	3381	3635	4203	4431	4723	4627	4720	4768	4619
Columbia Heights	E04	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3957	4771	5346	5835	6009	6596	7330	8441	10168	11375	11990	12386	12860
Congress Heights	F07	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1702	1920	2060	2227	2371	2524	2556	2723	2722	2826	2819	3035
Court House	K01	8	0	0	0	2825	3034	2860	3113	3673	4077	4059	4227	4977	5310	5561	5653	5630	6154	6018	5752	6108	6575	6583	7079	7275	6695	7066	7317	7356	7413	7405	7381	7385	7578	7483	7475
Crystal City	C09	12	3912	5110	7554	8204	7438	7667	9779	10602	10939	12253	12965	13633	13349	13335	12630	12601	11704	12067	11670	11596	11420	11847	12108	12851	12908	13560	13722	12809	13324	14158	15028	14748	14952	15187	13592
Deanwood	D10	4	0	0	2535	2638	2016	1851	2018	1909	2026	2091	2153	2206	1903	2007	1827	1567	1633	1708	1529	1631	1656	1716	1802	1854	1848	1899	1914	1828	1892	1827	1978	1960	1909	1844	1829
Dunn Loring	K07	2	0	0	0	0	0	0	0	0	0	3065	3474	3770	4546	4336	4224	3958	4072	3921	3783	3824	3969	4057	4216	4481	4534	4823	5001	5024	5353	5491	5502	5304	5371	5310	5239
